,-1
5_cpu0_.iowait,1218086924.9795763
1_cpu18_.iowait,1199975857.037766
2_cpu10_.iowait,1116317726.2111502
2_cpu12_.iowait,906143869.7388482
0_cpu2_.iowait,889672863.0030379
0_cpu4_.iowait,819171974.613519
2_cpu14_.iowait,813410529.4022775
4_cpu6_.iowait,775084518.4115218
2_cpu22_.iowait,744020958.2488394
4_cpu18_.iowait,649143370.8600622
2_cpu2_.iowait,598610034.3809204
4_cpu16_.iowait,572664609.7798748
3_cpu17_.iowait,517962596.014379
3_cpu19_.iowait,475501690.3457535
5_all_..iowait,34814316.09488853
2_all_..iowait,30767651.97486288
0_all_..iowait,24530464.228329215
4_TxBytes.1,16319142.883875882
4_TxBytes,16319142.816009581
15_TxBytes.1,16266393.780837948
15_TxBytes,16266393.724754963
29_TxBytes.1,16242535.587132955
29_TxBytes,16242535.546250321
41_TxBytes.1,16208026.327374816
41_TxBytes,16208026.29712751
34_TxBytes.1,15010589.774365637
34_TxBytes,15010589.74101472
21_TxBytes.1,14940410.703086482
21_TxBytes,14940410.654869875
4_kbmemfree,14043233.541070402
4_kbactive,13767603.909018034
3_kbactive,13724413.673672792
4_kbmemused,13131077.46300169
40_TxBytes.1,12863332.92252634
40_TxBytes,12863332.892456003
30_TxBytes.1,12834942.130851952
30_TxBytes,12834942.090170754
17_TxBytes.1,12800928.978622535
17_TxBytes,12800928.923940845
4_kbcached,12185008.798776902
0_TxBytes.1,11701207.796934593
0_TxBytes,11701207.731680537
20_TxBytes.1,11680771.696944319
20_TxBytes,11680771.649108151
2_kbactive,11580273.64989584
2_kbmemfree,11385837.456703309
2_kbmemused,11379369.978561418
36_TxBytes.1,11310763.99453769
36_TxBytes,11310763.96517154
2_kbcached,10433884.723012049
3_kbmemfree,9975205.953412721
3_kbmemused,9872110.19665972
30_RxBytes.1,8968499.114935296
30_RxBytes,8968499.07550002
40_RxBytes.1,8962870.279595215
40_RxBytes,8962870.250477184
17_RxBytes.1,8955166.174474273
17_RxBytes,8955166.121509567
3_kbcached,8906732.127163136
0_RxBytes.1,8353629.839305455
0_RxBytes,8353629.77508375
20_RxBytes.1,8340998.378064454
20_RxBytes,8340998.330925432
36_RxBytes.1,8133529.479932848
36_RxBytes,8133529.450837598
4_RxBytes.1,7324049.983114126
4_RxBytes,7324049.918133549
29_RxBytes.1,7318987.351089462
29_RxBytes,7318987.311876241
41_RxBytes.1,7317742.448895246
41_RxBytes,7317742.419926983
15_RxBytes.1,7315527.229401521
15_RxBytes,7315527.1756512895
0_kbmemfree,7069082.362097294
1_kbmemfree,7055053.273865151
34_RxBytes.1,6838505.991107994
34_RxBytes,6838505.958744957
21_RxBytes.1,6814662.788954924
21_RxBytes,6814662.7421745835
1_kbmemused,6626302.731423616
0_kbmemused,6590612.027648757
0_kbactive,6221258.44014065
1_kbcached,6127604.061998314
0_kbcached,5963354.249913121
0_kbinact,5819465.556319083
5_kbmemfree,5654504.5869498085
5_kbmemused,5515305.791155945
1_kbinact,5384726.692834634
5_kbactive,5203834.821460681
5_kbcached,5019352.457349572
3_kbinact,4375149.254298409
1_kbactive,4304113.449854185
2_kbinact,2727566.8147046627
4_kbinact,2362761.071510089
5_kbinact,2271401.136905725
42_TxBytes,916108.904504493
32_TxBytes,914339.5154730999
1_TxBytes,908378.5282386267
43_TxBytes,907318.4301497857
31_TxBytes,904500.5787518681
35_TxBytes,897743.648065225
6_TxBytes,884710.6364059541
23_TxBytes,882413.6691765406
38_TxBytes,879878.218839556
24_TxBytes,879584.8296878188
37_TxBytes,872337.4544297116
25_TxBytes,868668.9678619356
5_TxBytes,866100.3476328823
22_TxBytes,866098.9065034088
0_kbswpcad,819934.4121400361
4_kbcommit,708379.6560797712
0_kbswpfree,661604.8708131502
0_kbswpused,648143.942507492
43_RxBytes,573969.666255125
31_RxBytes,573153.3057951876
1_RxBytes,569831.7856427905
2_kbcommit,566713.2948675065
5_kbcommit,564618.5884499436
42_RxBytes,541574.8684665374
32_RxBytes,539684.0834597576
35_RxBytes,536928.728083363
1_kbcommit,536219.899511932
23_RxBytes,535288.9401406551
38_RxBytes,534268.2011393196
24_RxBytes,534146.2350864165
6_RxBytes,533555.3884334033
3_kbcommit,532409.6886837189
5_RxBytes,526707.1306052306
37_RxBytes,526649.5489969302
22_RxBytes,525662.7206343389
25_RxBytes,525591.3445854626
0_kbcommit,519190.2805349486
2_kbswpfree,244689.3032186416
5_kbswpfree,236077.55029265874
5_kbswpused,216681.6617543472
5_kbswpcad,214921.81958375758
2_kbswpused,210570.71012562493
1_kbswpused,199312.60377367042
4_kbswpfree,199176.19247514463
1_kbswpcad,183247.1053094076
4_kbswpused,182103.9071640834
1_kbswpfree,168200.99529518659
4_frmpg.s,156410.70894233065
4_kbswpcad,139165.62475359163
0_frmpg.s,136849.69700735825
0_campg.s,127477.9426266957
4_campg.s,125192.21439222283
1_frmpg.s,116722.30552948063
3_kbbuffers,111567.42793794187
5_frmpg.s,111054.50119335388
5_campg.s,94129.36879901234
2_frmpg.s,93301.54181780419
1_campg.s,91920.45868224074
2_kbswpcad,87929.06580285102
3_kbswpfree,86978.79971927316
2_kbbuffers,80702.4359764268
4_kbbuffers,69486.11769487232
2_campg.s,67961.71993830844
3_kbswpused,55508.24783012531
0_pgfree.s,51607.562594654846
3_frmpg.s,47071.05097450858
3_dev252.0_wr_sec.s,45625.08589186318
3_dev8.5_wr_sec.s,45431.588495591175
3_dev8.0_wr_sec.s,45431.54666679107
3_bwrtn.s,45396.6060211857
0_bwrtn.s,43554.04714710746
0_dev8.0_wr_sec.s,43533.51964893934
0_dev8.5_wr_sec.s,43532.564423355216
0_dev252.0_wr_sec.s,43080.124174139615
0_fault.s,42938.3285533744
5_pgfree.s,41964.62450371924
4_pgfree.s,38505.022456924
3_campg.s,36106.771386540735
4_fault.s,34556.08045728377
2_cswch.s,33947.34556362359
1_dev8.5_wr_sec.s,33124.91212184417
1_dev8.0_wr_sec.s,33116.46607833677
1_bwrtn.s,33107.576658105194
0_pgpgout.s,32380.248131288477
1_dev252.0_wr_sec.s,32136.524167397143
5_fault.s,30620.957787012838
5_X.dev.mapper.cloud..5.root_Ifree,29144.631216095935
2_X.dev.mapper.cloud..7.root_Ifree,29096.566838901705
4_cswch.s,29070.777344625734
3_X.dev.mapper.cloud..8.root_Ifree,29017.61256649388
4_X.dev.mapper.cloud..9.root_Ifree,28977.39944249327
0_X.dev.mapper.cloud..2.root_Ifree,28866.769305818132
1_X.dev.mapper.cloud..3.root_Ifree,28509.275924827558
5_dev252.0_wr_sec.s,27052.835526292165
4_bwrtn.s,27014.894306254602
4_dev8.5_wr_sec.s,26998.317445409462
4_dev8.0_wr_sec.s,26993.42990353971
0_dev252.1_wr_sec.s,26984.482656276956
2_bwrtn.s,26959.149874483217
2_dev8.0_wr_sec.s,26956.11259742693
2_dev8.5_wr_sec.s,26955.705958926363
1_cswch.s,26855.257711774095
2_pgfree.s,26248.611405372383
3_kbdirty,26029.336021991447
2_dev252.0_wr_sec.s,25895.717308933865
4_dev252.0_wr_sec.s,24548.135427687055
1_pgfree.s,23422.532143148233
5_cswch.s,23210.67155741638
3_pgpgout.s,22899.40594814772
5_dev8.0_wr_sec.s,21896.72488061052
5_dev8.5_wr_sec.s,21894.948046244965
5_bwrtn.s,21891.743657906572
0_kbdirty,20655.106416815077
4_RxPacktes.1,20622.251639905735
4_RxPacktes,20622.187546621848
41_RxPacktes.1,20599.838518114666
41_RxPacktes,20599.809942748492
40_TxPacktes.1,20599.06692403994
40_TxPacktes,20599.038369013888
15_RxPacktes.1,20587.49318051058
15_RxPacktes,20587.440128573577
29_RxPacktes.1,20586.692459777485
29_RxPacktes,20586.653757966877
30_TxPacktes.1,20583.324789370137
30_TxPacktes,20583.286088373334
17_TxPacktes.1,20582.939244077996
17_TxPacktes,20582.887214402377
34_RxPacktes.1,19430.919288059773
34_RxPacktes,19430.886987114787
0_TxPacktes.1,19378.244707252376
0_TxPacktes,19378.18115281718
21_RxPacktes.1,19370.08066833492
21_RxPacktes,19370.03401381137
20_TxPacktes.1,19369.37235517087
20_TxPacktes,19369.32573515632
3_cswch.s,19249.119638268272
36_TxPacktes.1,19000.553756551657
36_TxPacktes,19000.525025759933
1_pgpgout.s,16087.367821872265
30_RxPacktes.1,15484.746001514934
30_RxPacktes,15484.707037858725
29_TxPacktes.1,15480.189479435934
29_TxPacktes,15480.15052006816
4_TxPacktes.1,15477.954223226543
4_TxPacktes,15477.889572875089
15_TxPacktes.1,15472.233507286957
15_TxPacktes,15472.180069002188
41_TxPacktes.1,15471.513530779257
41_TxPacktes,15471.484768243297
17_RxPacktes.1,15469.760649377666
17_RxPacktes,15469.708239138423
40_RxPacktes.1,15469.041001485517
40_RxPacktes,15469.012238512192
0_cswch.s,15378.859248951932
34_TxPacktes.1,14522.024163238231
34_TxPacktes,14521.991703403693
21_TxPacktes.1,14485.57116815128
21_TxPacktes,14485.524318516997
0_RxPacktes.1,14480.582453649675
0_RxPacktes,14480.518597263717
20_RxPacktes.1,14479.341124903132
20_RxPacktes,14479.29427675381
36_RxPacktes.1,14150.757817248477
36_RxPacktes,14150.728922594528
5_pgpgout.s,13634.141869415938
4_pgpgout.s,13363.060197720117
2_pgpgout.s,12934.472193685224
4_dev252.0_rd_sec.s,12055.527583325245
4_dev8.0_rd_sec.s,12044.980597929434
4_dev8.5_rd_sec.s,12044.639001619636
4_bread.s,12036.276080635143
3_pgfree.s,11106.237474040156
2_dev252.0_rd_sec.s,11041.194834829454
2_bread.s,11031.816196400412
2_dev8.0_rd_sec.s,11031.098288596797
2_dev8.5_rd_sec.s,11030.910423804424
0_kbbuffers,10942.928645035197
4_kbdirty,9999.386440511724
5_kbdirty,9907.992367544244
1_kbdirty,9896.536022858805
2_kbdirty,9874.179664748608
0_dev252.1_await,9828.94669796968
1_kbbuffers,8395.028432179273
4_sum_intr.s,7816.035083053715
5_sum_intr.s,7697.91981877832
4_dev252.1_wr_sec.s,7622.486866837546
0_sum_intr.s,7258.9590793162915
2_fault.s,7164.88642790115
1_sum_intr.s,6802.697472101525
2_sum_intr.s,6736.504232255153
1_fault.s,6682.259453064773
4_pgpgin.s,6025.774460490793
5_kbbuffers,5803.567212437152
3_sum_intr.s,5794.329161465605
2_pgpgin.s,5519.515148467326
1_X.dev.mapper.cloud..3.root_MBfsused,4947.42619414986
0_X.dev.mapper.cloud..2.root_MBfsused,4945.549140629886
0_X.dev.mapper.cloud..2.root_MBfsfree,4943.185742095
1_X.dev.mapper.cloud..3.root_MBfsfree,4943.159161976438
3_X.dev.mapper.cloud..8.root_MBfsused,4734.6848166168775
3_X.dev.mapper.cloud..8.root_MBfsfree,4728.974960390803
4_X.dev.mapper.cloud..9.root_MBfsused,4692.913601546029
4_X.dev.mapper.cloud..9.root_MBfsfree,4679.161688063575
5_X.dev.mapper.cloud..5.root_MBfsused,4668.229936129508
5_X.dev.mapper.cloud..5.root_MBfsfree,4640.668379534204
2_X.dev.mapper.cloud..7.root_MBfsused,4614.028924214262
2_X.dev.mapper.cloud..7.root_MBfsfree,4606.0276987233465
3_dev8.5_rd_sec.s,4495.273372227734
3_dev8.0_rd_sec.s,4495.232738269913
3_bread.s,4492.998897686124
3_dev252.0_rd_sec.s,4490.0927410652
4_inode.nr,3925.9400078395065
3_fault.s,3523.26488031805
0_pswpout.s,3376.527716307836
0_dev252.1_tps,3374.505196305918
0_eth1_rxpck.s,3236.518488668513
1_eth1_rxpck.s,3201.3411539407757
0_pgsteal.s,3165.7407447178
2_eth1_rxpck.s,3152.758580299377
3_eth1_rxpck.s,3150.3461711111695
4_eth1_rxpck.s,3123.9080947812217
5_eth1_rxpck.s,3046.7457537139303
0_dev8.5_rd_sec.s,2960.305506181207
0_dev8.0_rd_sec.s,2960.2812975169686
0_bread.s,2959.178845463574
0_dev252.0_rd_sec.s,2934.124199160341
4_dentunusd,2698.6862298633278
0_iseg.s,2696.2734853332995
0_idel.s,2696.188029066682
0_irec.s,2696.1649887381504
0_pgscank.s,2691.7387556209414
2_inode.nr,2690.006582132321
2_dentunusd,2689.243124683401
3_dentunusd,2684.780845668724
3_inode.nr,2671.748121544489
1_iseg.s,2656.9432158704717
1_idel.s,2656.72933818736
1_irec.s,2656.715193267776
3_idel.s,2627.2899564830936
3_irec.s,2627.27583959273
3_iseg.s,2627.104347573623
2_iseg.s,2623.500779978059
2_idel.s,2622.658008526376
2_irec.s,2622.6325197640485
4_iseg.s,2603.3364261846405
4_idel.s,2603.0746986207832
4_irec.s,2603.066597817601
5_iseg.s,2549.4744035119274
5_idel.s,2549.2975759359815
5_irec.s,2549.276684570736
0_dev252.1_avgqu.sz,2463.5756328219672
0_eth1_txpck.s,2398.763845699412
0_orq.s,2396.4353705821645
0_oseg.s,2393.358699197926
1_eth1_txpck.s,2376.1614576182014
1_oseg.s,2373.618234475874
1_orq.s,2373.5220763803827
2_eth1_txpck.s,2355.3149223374726
3_oseg.s,2349.387123754212
3_orq.s,2348.2988791947137
3_eth1_txpck.s,2347.09681657242
2_oseg.s,2345.85566519401
2_orq.s,2345.5503208927307
4_eth1_txpck.s,2332.828460530863
4_oseg.s,2330.0562188022145
4_orq.s,2328.749746497649
5_eth1_txpck.s,2284.3278605877117
5_oseg.s,2278.896557070556
5_orq.s,2278.1816428772518
3_pgpgin.s,2243.9361653498545
3_kbswpcad,2240.7122558675746
0_dev8.0_avgrq.sz,1539.0677085544912
0_dev8.5_avgrq.sz,1538.9446116755626
0_pgscand.s,1519.6037790948521
5_dev8.0_avgrq.sz,1471.9031454789267
0_pgpgin.s,1468.1751543277535
5_dev8.5_avgrq.sz,1467.6603439341989
0_dev252.0_avgrq.sz,1461.0580154478002
5_dev252.0_avgrq.sz,1434.1423893302833
3_dev8.0_avgrq.sz,1396.850356690236
3_dev8.5_avgrq.sz,1396.412639646648
2_eth1_txkB.s,1340.0746831779595
0_eth1_txkB.s,1335.7795743087931
3_eth1_txkB.s,1332.301999198529
1_eth1_txkB.s,1331.8404118691658
1_dev8.0_avgrq.sz,1329.3786959571219
3_dev252.0_avgrq.sz,1328.549615801482
1_dev8.5_avgrq.sz,1327.8090054252589
4_eth1_txkB.s,1324.3351329310535
5_eth1_txkB.s,1319.208785536183
32_TxPacktes,1317.1664379202139
31_RxPacktes,1315.3816437398132
43_RxPacktes,1315.1424054588397
1_RxPacktes,1313.7485710117749
42_TxPacktes,1313.6076682985176
1_dev252.0_avgrq.sz,1288.7460331427983
35_RxPacktes,1274.117189106841
37_TxPacktes,1266.055539479708
25_TxPacktes,1265.8739142572
24_RxPacktes,1265.763284610691
23_RxPacktes,1265.628150920085
38_RxPacktes,1265.4375686132446
22_TxPacktes,1265.050546126409
6_RxPacktes,1262.8385455052905
5_TxPacktes,1262.752342882689
1_dev252.0_rd_sec.s,1164.336561233005
1_bread.s,1162.224045619519
1_dev8.5_rd_sec.s,1161.3569345956507
1_dev8.0_rd_sec.s,1161.206850022342
0_eth1_rxkB.s,1130.8996421007912
1_eth1_rxkB.s,1127.6502271289944
3_eth1_rxkB.s,1095.8444251978565
2_eth1_rxkB.s,1092.0644659983238
4_eth1_rxkB.s,1087.1283776371677
2_dev8.5_avgrq.sz,1053.7995482031033
2_dev8.0_avgrq.sz,1045.6969471281648
5_eth1_rxkB.s,1038.5635743612129
2_dev252.0_avgrq.sz,1024.2657646955502
4_dev252.1_tps,987.9622270432804
4_pswpout.s,984.3563222490948
1_X.dev.mapper.cloud..3.root_Iused,982.3880621826356
5_pgscand.s,976.6918271311827
5_bread.s,951.307988279232
5_dev8.5_rd_sec.s,945.0779944229582
5_dev8.0_rd_sec.s,945.0541644354507
32_RxPacktes,936.4129669992703
5_dev252.0_rd_sec.s,935.8688189052114
31_TxPacktes,934.9362278391674
42_RxPacktes,933.2666477518031
1_TxPacktes,932.7174798106495
43_TxPacktes,932.7151027222784
35_TxPacktes,907.6085422383219
25_RxPacktes,898.2692586308348
24_TxPacktes,897.9290654201973
37_RxPacktes,897.8945085659429
6_TxPacktes,897.8157694586376
5_RxPacktes,897.2024789172006
22_RxPacktes,897.0327488797273
38_TxPacktes,896.8136768992111
23_TxPacktes,896.6772245034869
5_pgsteal.s,890.3555821757975
4_pgscand.s,883.5304906249422
4_dev8.5_avgrq.sz,829.7640486949015
4_dev8.0_avgrq.sz,826.1773485774955
4_pgsteal.s,825.1324626362851
0_dentunusd,806.1338637316026
4_dev252.0_avgrq.sz,792.24337836745
10_TxBytes,744.3772023797277
18_TxBytes,734.5584839334078
3_TxBytes,726.7280250949325
2_TxBytes,726.7215922707281
16_TxBytes,724.096450314048
19_TxBytes,723.9747320105878
27_TxBytes,712.7769369676607
1_pgscand.s,687.7466774865319
5_i142_intr.s,656.0777879262846
8_TxBytes,643.717473136787
13_RxBytes,640.9828329000261
11_TxBytes,640.4741109249181
3_i128_intr.s,639.0037844814785
1_i133_intr.s,636.3692119523262
0_X.dev.mapper.cloud..2.root_Iused,635.9261419666428
4_i123_intr.s,632.5516393083628
28_RxBytes,624.3494734896667
3_i131_intr.s,620.9657441378127
4_file.nr,620.7204370950369
1_i127_intr.s,619.2499063130145
4_i119_intr.s,616.5806668729047
1_i128_intr.s,610.0416133622797
4_rtps,604.7638553415823
0_i128_intr.s,603.1265225563765
2_i138_intr.s,595.6432713179715
0_i133_intr.s,592.1822996138601
3_i127_intr.s,590.341285029675
4_i124_intr.s,587.6351345610794
5_i137_intr.s,582.848215766775
1_pgpgin.s,582.6694592442128
4_dev8.5_tps,580.4876444761936
1_i131_intr.s,578.4323927406941
0_i130_intr.s,576.5541920485165
4_dev8.0_tps,575.8412815160365
4_tps,575.0791676214078
0_i127_intr.s,572.6196671710583
4_i116_intr.s,570.9029760028376
2_i136_intr.s,566.5069300495628
4_i122_intr.s,564.0414861758351
4_dev252.0_tps,560.9720364575219
5_i138_intr.s,557.6699752580079
5_i139_intr.s,554.8886257078719
0_i132_intr.s,553.4631346531984
1_pgsteal.s,551.7452293453834
2_i139_intr.s,548.8704781431273
2_i141_intr.s,547.6937157016472
2_i140_intr.s,542.8389612995844
1_file.nr,542.7282905400498
2_pgscand.s,537.5118218942711
2_pgsteal.s,537.4611015602405
3_i133_intr.s,533.3119209246978
1_i129_intr.s,530.7365642538489
2_i142_intr.s,530.4854206439979
3_i129_intr.s,528.2515776627108
4_i118_intr.s,527.3774510991809
1_i132_intr.s,526.9686060465053
4_X.dev.mapper.cloud..9.root_Iused,526.4442933946325
3_i132_intr.s,525.1251404724151
0_file.nr,523.805810784649
2_file.nr,520.7122122275937
0_i131_intr.s,518.7029854287814
3_file.nr,511.17273962432023
4_i121_intr.s,505.32651375690807
5_i136_intr.s,494.05583585653216
2_rtps,492.3307019757062
0_i129_intr.s,491.9538965440264
2_i137_intr.s,491.06427507992123
3_X.dev.mapper.cloud..8.root_Iused,488.0443999757322
5_pgpgin.s,475.0546985049431
2_tcpsck,468.7078253798673
2_dev8.5_tps,467.14470190490067
4_i120_intr.s,465.3329976881978
5_i140_intr.s,464.2574545940338
2_dev8.0_tps,462.9916900250217
2_tps,462.46978073960537
2_totsck,458.89903315636224
2_i116_intr.s,458.1699397490365
2_dev252.0_tps,452.29608463193136
5_file.nr,451.80522558755
5_i141_intr.s,444.8401144733888
1_dev252.1_avgqu.sz,415.62620168589564
2_X.dev.mapper.cloud..7.root_Iused,412.01313888330174
1_i130_intr.s,402.4359380031034
3_i130_intr.s,395.60262663903586
0_inode.nr,372.2777442276362
5_X.dev.mapper.cloud..5.root_Iused,363.7574016006835
4_dev252.1_avgqu.sz,295.9967353497407
5_dentunusd,292.40925438450773
1_dentunusd,274.1017563310236
3_tcpsck,273.2139727520217
3_totsck,271.07340227532137
3_rtps,254.45611236977518
3_dev8.5_tps,245.65775303605668
3_dev8.0_tps,243.05722047853877
3_tps,242.76980154270584
3_dev252.0_tps,240.2338066271673
3_i116_intr.s,240.1256871573404
0_i126_intr.s,237.88663565645152
8_RxBytes,218.3842350459471
13_TxBytes,218.30787312460316
11_RxBytes,218.0266662338425
28_TxBytes,215.88691350861794
3_i126_intr.s,209.68854458566264
2_i135_intr.s,201.93172694928776
0_tcpsck,201.66182495822113
0_totsck,201.34022070156874
0_dev252.0_await,189.1177897836037
1_i126_intr.s,184.0412745864068
1_inode.nr,177.80565713993843
5_i135_intr.s,161.4290282312098
0_dev8.5_await,159.9820692744649
0_dev8.0_await,159.97368435744173
5_inode.nr,155.31897033646487
5_cpu18_.irq,138.4550537617449
0_X..swpcad,121.55555720501495
5_tcp6sck,119.21212322790383
5_totsck,118.8851569115685
0_dev252.0_tps,115.93436362366491
1_dev252.1_rd_sec.s,115.07124433505022
0_dev8.5_tps,108.35042854960898
0_dev8.0_tps,108.33866400164791
0_tps,108.2079744651524
0_i116_intr.s,107.32182159736129
5_dev252.1_wr_sec.s,104.02505877031163
1_dev8.5_await,102.94881779025658
1_dev8.0_await,101.24954216841756
4_totsck,100.76382834910439
4_i117_intr.s,99.80142715874305
0_rtps,98.08843848048748
5_X..vmeff,97.21359855040451
4_tcpsck,94.87501964965705
5_dev252.0_await,91.81433712610222
4_dev252.1_rd_sec.s,91.56815592626074
1_dev252.0_tps,85.40948905559739
1_tcp6sck,84.88337180169614
1_totsck,84.85302810260609
5_dev252.1_rd_sec.s,83.52577732444931
0_dev252.0_svctm,82.24203661619471
3_dev252.0_await,82.16712520504748
1_dev8.5_tps,81.98473182144954
3_cpu8_.iowait,81.30104183129662
1_dev8.0_tps,81.04280565981773
1_tps,81.03352034006136
1_i116_intr.s,80.02535126990844
5_dev252.0_tps,77.73779420596814
1_rtps,76.14768251236467
3_cpu17_.soft,74.95697523952009
2_dev252.0_await,72.82954975601044
4_cpu9_.iowait,70.84300799255523
3_dev8.5_await,70.77902509158204
4_X..vmeff,69.57467911341946
5_dev8.5_tps,68.36700373841624
3_dev8.0_await,68.31553382932027
0_wtps,67.9795334119127
5_X..swpcad,67.38233386631528
5_tps,66.60114124493964
5_dev8.0_tps,66.57519559932783
5_bufpg.s,66.04358294151014
5_i116_intr.s,65.92042381568888
1_X..swpcad,64.57729560438028
4_dev8.5_.util,64.22916318991102
1_dev252.0_await,63.23884629328925
4_dev8.0_.util,63.1587840209002
4_dev252.0_.util,62.98654264986472
4_dev252.1_await,62.79790709470428
5_cpu1_.soft,62.77891851578705
4_cpu1_.soft,62.619939774318986
1_dev252.1_wr_sec.s,62.535307901046274
3_cpu19_.soft,61.69579252229837
5_rtps,61.54284567467299
4_wtps,60.869091540829196
3_dev252.1_rd_sec.s,60.60606851990029
3_cpu15_.soft,59.761820369537126
2_X..swpcad,59.046397180958266
3_retrans.s_2,58.53743313285527
2_X..vmeff,57.2818990289378
3_cpu4_.iowait,56.96934760534756
5_dev8.0_await,56.13323471093128
0_X..vmeff,55.3985110421869
4_dev252.0_await,54.780649008196576
5_dev8.5_await,54.63205731502882
4_cpu13_.iowait,53.95549972743417
2_cpu7_.iowait,53.931191728734255
4_cpu17_.iowait,53.433689529652284
1_estres.s,52.76010107978026
2_cpu5_.iowait,51.791908133406245
3_cpu0_.soft,51.630596124655625
3_wtps,51.46094954525304
2_cpu3_.iowait,51.13671841863747
3_cpu1_.iowait,50.49533698053247
3_cpu6_.iowait,49.88156949590948
1_wtps,49.65248703318662
2_wtps,49.538946806391046
4_dev8.5_await,49.146967159044245
4_cpu3_.iowait,48.976664081312414
4_X..swpcad,48.692131641889574
4_cpu7_.iowait,48.62793853038029
3_cpu3_.iowait,48.490471378745845
3_cpu21_.soft,48.43101562132474
5_cpu21_.iowait,48.23212640632015
4_dev8.0_await,48.0093305621185
5_cpu9_.iowait,47.36604005224207
3_cpu13_.irq,47.22409406957189
2_dev252.1_rd_sec.s,47.20822873038397
3_dev252.1_tps,46.77195448312825
4_bufpg.s,46.50857159872096
2_dev8.5_await,45.66695055097562
2_dev8.0_await,45.175552579211775
5_wtps,45.09671397417866
3_pswpin.s,43.866362916038625
2_dev8.5_.util,43.860351913429106
2_dev8.0_.util,43.63229703682861
2_dev252.0_.util,43.62157541758643
5_dev8.0_svctm,43.51465248117223
4_cpu3_.soft,42.26757078209854
2_cpu23_.iowait,41.85229426817132
5_cpu5_.iowait,41.72547009683915
2_dev252.1_await,41.591084908576505
4_cpu21_.iowait,41.47539623479592
2_bufpg.s,41.4661167658741
0_retrans.s_2,41.126828676042265
2_dev252.1_avgrq.sz,41.0349602162472
3_dev252.1_svctm,40.94895752206535
2_dev252.1_tps,40.923754893595984
0_dev252.1_rd_sec.s,40.745076804618364
2_dev252.1_.util,40.501007933097746
2_dev252.1_svctm,40.47877422450663
2_dev252.1_avgqu.sz,40.21254184923521
3_dev252.1_await,39.89333230097312
5_dev252.0_svctm,39.70972693456246
3_cpu12_.iowait,39.63103380662144
5_dev8.5_svctm,39.28889077881374
5_cpu17_.iowait,39.11128580159657
2_cpu15_.iowait,38.26456725821887
5_retrans.s_2,38.16682125647561
2_cpu19_.iowait,37.886352226938165
2_cpu21_.iowait,37.80253630536527
