,score
0_i133_intr.s,0.7277333230980845
0_i132_intr.s,0.7235551366881056
0_iseg.s,0.7215523108931553
0_idel.s,0.7215396839113626
0_irec.s,0.7215384761272184
0_orq.s,0.7196263941725517
0_oseg.s,0.7194960530621081
1_i128_intr.s,0.718454239532406
1_i127_intr.s,0.7177273964731439
2_i138_intr.s,0.7158318022060405
2_eth1_txpck.s,0.7152549243225298
2_iseg.s,0.7144286168012296
2_irec.s,0.7144141869828121
2_idel.s,0.7144137845137305
0_i127_intr.s,0.7138567262733462
1_oseg.s,0.7125317168458339
1_iseg.s,0.7124514090106593
1_idel.s,0.7124356417628351
1_irec.s,0.712430523023372
1_orq.s,0.7121411581462866
1_eth1_rxpck.s,0.7119673430288427
2_orq.s,0.7115378976354898
2_oseg.s,0.7115173076867413
1_eth1_txpck.s,0.711194224688433
2_i140_intr.s,0.7098615410136708
2_eth1_rxpck.s,0.7097967836415091
5_i137_intr.s,0.7092158179009768
4_i123_intr.s,0.7084026601705147
3_iseg.s,0.7077006779709337
3_idel.s,0.7073397001556369
3_irec.s,0.7073352497001699
1_eth1_rxkB.s,0.70730268994547
3_oseg.s,0.7066922885365162
3_orq.s,0.7064532901594827
2_i141_intr.s,0.7061156848895663
3_i131_intr.s,0.7059631895199252
1_eth1_.ifutil,0.7059323900202189
0_i130_intr.s,0.7059238180364587
1_i131_intr.s,0.7058764631097961
1_eth1_txkB.s,0.7058746145647822
3_i127_intr.s,0.705819150870662
0_i129_intr.s,0.7051006730365317
3_i128_intr.s,0.7050987374834421
1_i126_intr.s,0.7041305068936119
4_orq.s,0.7036485971254131
4_oseg.s,0.7036315156100055
4_iseg.s,0.7030293678115219
4_idel.s,0.7029928194121835
4_irec.s,0.702992737277692
0_i131_intr.s,0.7028497770870227
5_oseg.s,0.7022081060312598
0_i126_intr.s,0.7021184843693485
5_orq.s,0.7019606551430843
0_eth1_txpck.s,0.7018163783821666
2_eth1_.ifutil,0.7015464276047687
2_eth1_txkB.s,0.7013283259834944
5_i138_intr.s,0.7011728615314236
5_iseg.s,0.7009357808969812
2_i142_intr.s,0.7008506145174048
2_i137_intr.s,0.7008473322161259
3_i129_intr.s,0.7008389109934522
5_idel.s,0.7007913160551388
5_irec.s,0.7007885015339762
4_i118_intr.s,0.7001625096044752
5_i142_intr.s,0.7001281847331119
3_i132_intr.s,0.7001271428765563
0_eth1_rxpck.s,0.7000215252968007
2_i136_intr.s,0.6994076968890407
4_i124_intr.s,0.6993558224589106
5_i136_intr.s,0.6993458582959519
2_eth1_rxkB.s,0.6990898568746212
5_eth1_txpck.s,0.6987382994854648
2_i139_intr.s,0.6983584714039169
4_TxBytes.1,0.698164848616637
4_TxBytes,0.698164848616637
1_i133_intr.s,0.6974576957115571
15_TxBytes,0.6974363914890603
15_TxBytes.1,0.6974363914890603
29_TxBytes,0.6969873077717258
29_TxBytes.1,0.6969873077717258
5_eth1_rxpck.s,0.6966661681051874
17_TxBytes.1,0.6965490744265314
17_TxBytes,0.6965490744265314
30_TxBytes,0.6962834501007863
30_TxBytes.1,0.6962834501007863
41_TxBytes.1,0.6959333166815664
41_TxBytes,0.6959333166815664
17_RxBytes,0.6959238629871279
17_RxBytes.1,0.6959238629871279
17_TxPacktes.1,0.6958461255116891
17_TxPacktes,0.6958461255116891
15_RxPacktes.1,0.6955625773402025
15_RxPacktes,0.6955625773402025
4_RxBytes,0.6955173924868517
4_RxBytes.1,0.6955173924868517
4_RxPacktes.1,0.6953411863637707
4_RxPacktes,0.6953411863637707
15_RxBytes,0.6951525275997736
15_RxBytes.1,0.6951525275997736
29_RxBytes.1,0.6950965810382954
29_RxBytes,0.6950965810382954
40_TxBytes,0.6950792574376234
40_TxBytes.1,0.6950792574376234
4_TxPacktes.1,0.6950661396601282
4_TxPacktes,0.6950661396601282
30_RxBytes.1,0.6948966905193936
30_RxBytes,0.6948966905193936
30_TxPacktes.1,0.6946176805968431
30_TxPacktes,0.6946176805968431
29_RxPacktes,0.694556309156511
29_RxPacktes.1,0.694556309156511
5_eth1_.ifutil,0.6945477901884379
17_RxPacktes.1,0.6944611364059027
17_RxPacktes,0.6944611364059027
5_eth1_txkB.s,0.6944505251619119
4_i122_intr.s,0.6944349955309373
29_TxPacktes.1,0.694374636161132
29_TxPacktes,0.694374636161132
15_TxPacktes,0.6942789419118784
15_TxPacktes.1,0.6942789419118784
40_RxBytes,0.6941454037808503
40_RxBytes.1,0.6941454037808503
1_i129_intr.s,0.6941255198383841
0_i128_intr.s,0.6940813801559758
41_RxBytes,0.6939308720935983
41_RxBytes.1,0.6939308720935983
30_RxPacktes,0.6938702636840964
30_RxPacktes.1,0.6938702636840964
0_eth1_.ifutil,0.6935488916857334
41_RxPacktes.1,0.6934564042826745
41_RxPacktes,0.6934564042826745
3_eth1_txpck.s,0.693417074674676
40_TxPacktes.1,0.6934104299432382
40_TxPacktes,0.6934104299432382
40_RxPacktes,0.6932134754037762
40_RxPacktes.1,0.6932134754037762
41_TxPacktes,0.6931825431996527
41_TxPacktes.1,0.6931825431996527
0_eth1_txkB.s,0.6927122249079061
3_i130_intr.s,0.6926391619964198
0_eth1_rxkB.s,0.6925852599843053
4_i119_intr.s,0.6923893577728092
4_eth1_txpck.s,0.6921386643346272
4_i121_intr.s,0.6915668163377193
4_eth1_rxpck.s,0.6915148415636617
3_eth1_rxpck.s,0.6914914401894601
21_TxBytes.1,0.6914823925815335
21_TxBytes,0.6914823925815335
5_eth1_rxkB.s,0.6909341171908403
1_i130_intr.s,0.6905451780526648
0_RxBytes.1,0.6898584727443126
0_RxBytes,0.6898584727443126
20_TxBytes,0.6897322023972409
20_TxBytes.1,0.6897322023972409
5_i140_intr.s,0.6894219303939171
20_RxBytes,0.6890703136498364
20_RxBytes.1,0.6890703136498364
0_TxBytes.1,0.688698888357557
0_TxBytes,0.688698888357557
3_eth1_.ifutil,0.6884998584374432
20_TxPacktes.1,0.6883938853519402
20_TxPacktes,0.6883938853519402
34_TxBytes,0.6883293000265911
34_TxBytes.1,0.6883293000265911
21_RxPacktes.1,0.6883164565881527
21_RxPacktes,0.6883164565881527
3_i133_intr.s,0.6879774263901346
3_eth1_txkB.s,0.6877559274911618
0_RxPacktes,0.6876841055521178
0_RxPacktes.1,0.6876841055521178
0_TxPacktes,0.6876226979962298
0_TxPacktes.1,0.6876226979962298
21_RxBytes,0.6876015640046643
21_RxBytes.1,0.6876015640046643
20_RxPacktes.1,0.6872336329837571
20_RxPacktes,0.6872336329837571
21_TxPacktes.1,0.6871799626497611
21_TxPacktes,0.6871799626497611
4_eth1_.ifutil,0.6859184733484878
4_eth1_txkB.s,0.6855626106708317
4_eth1_rxkB.s,0.6851879183176421
3_eth1_rxkB.s,0.6846578263317105
