,-1
1_cpu6_.iowait,1158666300.6256692
5_cpu14_.iowait,1145750587.2755775
0_cpu8_.iowait,1137576837.0863373
4_cpu8_.iowait,1132924403.4251325
2_cpu6_.iowait,912518665.2240019
5_cpu20_.iowait,896690959.0137889
5_cpu4_.iowait,889482125.9472532
5_cpu0_.iowait,851208040.3409353
0_cpu6_.iowait,814601681.8100553
3_cpu21_.iowait,748148443.5317574
1_cpu10_.iowait,710473193.5145918
2_cpu20_.iowait,680492197.9727485
2_cpu1_.iowait,640410773.3504703
0_cpu2_.iowait,633294869.5573984
2_cpu4_.iowait,624119197.7571939
0_cpu0_.iowait,425161695.82266027
4_cpu6_.iowait,378419850.0383051
1_all_..iowait,29158203.280360013
2_all_..iowait,26694793.784176838
4_TxBytes,19531667.254117668
4_TxBytes.1,19531667.254117668
29_TxBytes,19474863.300707594
29_TxBytes.1,19474863.300707594
15_TxBytes.1,19447818.847253613
15_TxBytes,19447818.847253613
41_TxBytes,19395455.971144196
41_TxBytes.1,19395455.971144196
34_TxBytes.1,18732326.911173254
34_TxBytes,18732326.911173254
21_TxBytes,18674437.61002024
21_TxBytes.1,18674437.61002024
40_TxBytes,15989643.741500221
40_TxBytes.1,15989643.741500221
30_TxBytes.1,15960337.314406835
30_TxBytes,15960337.314406835
17_TxBytes.1,15935960.411304327
17_TxBytes,15935960.411304327
0_TxBytes,15264729.256374922
0_TxBytes.1,15264729.256374922
36_TxBytes.1,15251229.083223134
36_TxBytes,15251229.083223134
20_TxBytes,15245223.41970889
20_TxBytes.1,15245223.41970889
3_kbinact,12394049.493789699
3_kbactive,12300026.510731187
30_RxBytes.1,11119866.958007773
30_RxBytes,11119866.958007773
40_RxBytes.1,11109180.625418663
40_RxBytes,11109180.625418663
17_RxBytes,11091305.620939704
17_RxBytes.1,11091305.620939704
36_RxBytes,10748538.09931395
36_RxBytes.1,10748538.09931395
0_RxBytes,10678356.258567076
0_RxBytes.1,10678356.258567076
20_RxBytes,10671349.574052028
20_RxBytes.1,10671349.574052028
41_RxBytes.1,9694688.7396474
41_RxBytes,9694688.7396474
4_RxBytes,9693681.386758318
4_RxBytes.1,9693681.386758318
15_RxBytes.1,9692896.61498639
15_RxBytes,9692896.61498639
29_RxBytes.1,9689735.935025822
29_RxBytes,9689735.935025822
2_kbactive,9596899.334806517
34_RxBytes.1,9351285.10930422
34_RxBytes,9351285.10930422
21_RxBytes.1,9311410.857977219
21_RxBytes,9311410.857977219
2_kbinact,8955226.071748754
1_kbactive,8850618.35548951
0_kbactive,8383502.7656235285
5_kbactive,7777133.01793531
