,score
1_i127_intr.s,0.7021748283148376
1_iseg.s,0.6901019389418064
1_irec.s,0.6900873866489938
1_idel.s,0.6900861357361867
4_i123_intr.s,0.6885018730331667
1_i132_intr.s,0.6873543665833066
4_i118_intr.s,0.6873117089854077
4_iseg.s,0.6871259740827921
4_idel.s,0.6870512656234028
4_irec.s,0.6870456487255023
4_i124_intr.s,0.6869627683314395
17_TxPacktes.1,0.686277344138104
17_TxPacktes,0.686277344138104
15_RxPacktes.1,0.6861928166637614
15_RxPacktes,0.6861928166637614
0_iseg.s,0.6856919796664543
0_irec.s,0.6856252120342917
0_idel.s,0.6856240727233193
4_RxPacktes.1,0.6852834716945561
4_RxPacktes,0.6852834716945561
40_TxPacktes.1,0.6850510091501308
40_TxPacktes,0.6850510091501308
41_RxPacktes,0.6850294360752909
41_RxPacktes.1,0.6850294360752909
30_TxPacktes.1,0.6847231482729943
30_TxPacktes,0.6847231482729943
29_RxPacktes.1,0.6846318142525365
29_RxPacktes,0.6846318142525365
4_orq.s,0.684155088391868
15_TxPacktes,0.6839159894018355
15_TxPacktes.1,0.6839159894018355
17_RxPacktes,0.6838251819315238
17_RxPacktes.1,0.6838251819315238
4_oseg.s,0.6834526390711811
41_TxPacktes.1,0.6833599059834219
41_TxPacktes,0.6833599059834219
4_TxPacktes,0.6832202990168803
4_TxPacktes.1,0.6832202990168803
40_RxPacktes,0.6831912140369335
40_RxPacktes.1,0.6831912140369335
15_RxBytes,0.683129240105824
15_RxBytes.1,0.683129240105824
3_idel.s,0.6830274381362772
29_TxPacktes,0.6830225640447697
29_TxPacktes.1,0.6830225640447697
3_irec.s,0.6830219529148406
3_iseg.s,0.6829326369763637
30_RxPacktes,0.6828554475359792
30_RxPacktes.1,0.6828554475359792
4_RxBytes,0.6825927010390578
4_RxBytes.1,0.6825927010390578
17_RxBytes.1,0.6823951689890076
17_RxBytes,0.6823951689890076
41_RxBytes,0.6820134368252662
41_RxBytes.1,0.6820134368252662
1_orq.s,0.6813327465241213
29_RxBytes.1,0.6811725947948066
29_RxBytes,0.6811725947948066
40_RxBytes,0.6810736827657339
40_RxBytes.1,0.6810736827657339
17_TxBytes.1,0.6809928871626229
17_TxBytes,0.6809928871626229
30_RxBytes,0.6805670938617006
30_RxBytes.1,0.6805670938617006
1_oseg.s,0.6805443089835846
2_iseg.s,0.6804803854068349
2_idel.s,0.6803994331979284
2_irec.s,0.680395867855497
40_TxBytes.1,0.6797561354696476
